Warehouse Name,Status,Location,Price per SqFt,Total Square Footage,Total Price,Age of Warehouse,Distance to Highways (miles),Distance to Ports/Airports (miles),NOI,Cap Rate (%),Year of Last Renovation,Number of Loading Docks,Clear Height (ft),Parking and Storage Capacity,Warehouse Type,Zoning Regulations,Environmental Concerns,Neighboring Land Use,Condition of Property,Security Features,Energy Efficiency Features
Warehouse 305,Sold,Cambridge,153.43552673285245,91652,14062672.896119393,86,4.4877198503132165,29.478575762326873,1473503.35610768,4.640146158061435,1978,38,26.65568680567681,107,Dry Storage,Industrial,None,Mixed-Use,Fair,High,Insulated
Warehouse 306,Sold,Cambridge,195.8948535086309,395411,77458979.92070125,49,15.273409401063503,13.428142220187874,747621.7884227427,6.8757169748315485,2023,29,28.03629352755817,52,Cold Storage,Commercial,None,Mixed-Use,Good,Basic,Solar Panels
Warehouse 307,Sold,Worcester,117.77105921120321,254474,29969672.521711726,17,10.895172968906856,38.06037920956145,174606.83699432894,10.866955253757268,1968,15,43.076141761078745,390,Distribution Center,Mixed-Use,High Pollution,Residential,Good,High,Solar Panels
Warehouse 308,Sold,Quincy,84.9026004000118,184436,15659096.007376578,98,3.0770688455863553,5.001696517144716,194952.48732783936,5.860830897190048,1952,23,13.920216594837669,360,Distribution Center,Industrial,Mild Pollution,Residential,Poor,Moderate,Solar Panels
Warehouse 309,Sold,Cambridge,165.18165311067963,497049,82103375.4970102,70,7.675724655101228,46.2900664689384,274957.46254612255,4.9240469292517295,1985,23,38.15768329687849,343,Flex Space,Mixed-Use,Mild Pollution,Industrial,Fair,Basic,Insulated
Warehouse 310,Sold,Newton,76.04148271455261,393647,29933501.546135493,70,8.347947339232931,16.965349577753752,1745878.5805201423,6.6088484531103475,1992,18,23.51782284181163,319,Dry Storage,Mixed-Use,None,Mixed-Use,Fair,Basic,Green Roof
Warehouse 311,Sold,Worcester,104.62514151995813,265116,27737799.01920522,98,15.10121104132745,7.260957986709532,970841.5302245985,5.763503079140912,1964,46,22.399205457418798,56,Distribution Center,Mixed-Use,High Pollution,Mixed-Use,Fair,High,Solar Panels
Warehouse 312,Sold,New Bedford,43.337584828185214,352022,15255783.286387416,65,0.5113602409488988,22.67596012201852,1440120.620222236,11.40230555834524,1990,19,47.3017250434392,279,Distribution Center,Commercial,None,Residential,Fair,Moderate,Insulated
Warehouse 313,Sold,Lynn,34.309626380627776,324200,11123180.872599525,74,5.453490971286378,3.0810255535701248,816173.2044295418,10.943733136017048,1985,28,19.93874097666968,441,Dry Storage,Mixed-Use,Mild Pollution,Residential,Good,Moderate,Insulated
Warehouse 314,Sold,Lynn,193.65023049524726,425706,82438065.02320974,85,10.400166396178887,34.54668351898335,554486.3474604873,7.997465842263233,1982,26,35.701273413574654,320,Dry Storage,Commercial,Mild Pollution,Residential,Good,Moderate,None
Warehouse 315,Sold,Boston,172.11662048707498,24975,4298612.596664698,5,5.450050174811582,45.23257001182245,727024.7267463133,4.490750995870944,1954,10,21.005110295043682,422,Flex Space,Mixed-Use,Protected Area,Residential,Fair,High,Green Roof
Warehouse 316,Sold,New Bedford,148.31561503592866,162795,24145040.549774006,2,12.605837543638076,42.02588734978693,1598655.573368508,9.71649876874525,1963,47,30.285755305615403,440,Cold Storage,Commercial,Protected Area,Industrial,Good,High,Insulated
Warehouse 317,Sold,Lynn,99.52200055042589,421495,41948025.62200176,22,9.689162837564869,7.241104198946172,1269171.4438113044,8.987293850690117,2017,4,41.451715703851114,72,Dry Storage,Commercial,Protected Area,Industrial,Fair,Moderate,Green Roof
Warehouse 318,Sold,Brockton,59.46003441204378,214373,12746625.957013061,57,7.298034071705654,7.187285718278861,1878397.570917909,11.764437365827966,1996,2,45.268900940650425,28,Distribution Center,Commercial,High Pollution,Industrial,Good,High,Solar Panels
Warehouse 319,Sold,Boston,56.59429725408462,409777,23191041.345887035,66,18.989251674723192,40.85828963388894,1375424.3182248264,8.471625922163016,2003,3,43.54788961180201,356,Dry Storage,Mixed-Use,None,Industrial,Poor,Moderate,Solar Panels
Warehouse 320,Sold,Worcester,72.54129268798121,202133,14662989.114899706,74,12.6799740338105,46.28845945555268,1161854.1819216532,6.691149787223275,1953,7,33.28722944578559,402,Distribution Center,Mixed-Use,Mild Pollution,Residential,Poor,High,Solar Panels
Warehouse 321,Sold,Lowell,123.36853300004049,355541,43862571.591367394,98,2.6858333081320303,23.57282166184097,1239882.2175223771,8.152173548628447,1958,16,19.952652613528883,110,Flex Space,Commercial,Mild Pollution,Industrial,Fair,Basic,None
Warehouse 322,Sold,Lowell,151.4813068590106,185225,28058125.062960237,16,11.245824779123568,25.449584728774532,1887624.3069634086,11.83410633123613,2002,31,36.44933533047463,46,Cold Storage,Mixed-Use,High Pollution,Industrial,Fair,Basic,None
Warehouse 323,Sold,Worcester,142.2335540420143,300286,42710745.00906031,51,15.636563878697928,16.594840027900567,1586991.8132400769,9.570899460264243,2009,10,38.39620183118432,116,Flex Space,Commercial,Mild Pollution,Industrial,Good,High,Green Roof
Warehouse 324,Sold,Quincy,77.58876248081029,294060,22815751.495107073,39,14.198944980106665,44.818990794564286,96880.41286455374,9.375809103416408,1995,19,10.427679604540057,101,Dry Storage,Mixed-Use,Mild Pollution,Residential,Fair,High,Green Roof
Warehouse 325,Sold,Worcester,192.32709771274298,69324,13332883.721838195,86,3.5245756629756615,32.60024235932544,1091572.4074646095,5.925452717807083,2003,28,27.568420437274984,317,Distribution Center,Commercial,None,Mixed-Use,Fair,Moderate,None
Warehouse 326,Sold,Springfield,155.44247583828064,181037,28140839.498334814,76,19.451157980898056,15.124327281201056,1392259.9025158014,9.94882014048494,2023,17,43.73048171287057,194,Dry Storage,Commercial,Protected Area,Residential,Good,Basic,Insulated
Warehouse 327,Sold,Lowell,124.24018892693812,393076,48835836.50264513,88,9.031391550357458,15.64036068165833,1509962.0329563522,10.002174635774175,1986,28,29.583503849721893,225,Dry Storage,Industrial,Protected Area,Mixed-Use,Fair,Moderate,Green Roof
Warehouse 328,Sold,Lynn,133.99252685983987,140720,18855428.37971667,40,3.2645975744311997,44.66880358011652,465627.1326621765,6.5383118702072425,1972,19,22.455017686532845,37,Dry Storage,Mixed-Use,High Pollution,Mixed-Use,Fair,High,Green Roof
Warehouse 329,Sold,Fall River,101.33201061272429,171205,17348546.876951464,38,3.6858955071501436,1.668067171385252,1740995.841180137,7.8697106591257056,1976,37,44.87191084098651,45,Dry Storage,Mixed-Use,Protected Area,Industrial,Poor,Moderate,Solar Panels
Warehouse 330,Sold,Boston,72.11426821519677,448893,32371590.201924324,60,2.0548763445627016,16.81360206360528,1913894.1369915693,6.356826663523648,2019,23,16.23522790119223,381,Cold Storage,Industrial,Protected Area,Industrial,Poor,Moderate,Green Roof
Warehouse 331,Sold,Quincy,90.51535537071447,101059,9147391.298409034,59,16.090010357855192,28.163477379602085,511594.84639749606,6.0696405625942935,2015,20,18.257809296648016,329,Distribution Center,Commercial,High Pollution,Industrial,Poor,High,Green Roof
Warehouse 332,Sold,Lawrence,158.83383877894275,492804,78273951.08561811,10,2.528406837004788,8.262655642866907,1771100.1421586294,4.207168561995881,2010,13,37.49489467744533,27,Dry Storage,Commercial,High Pollution,Residential,Fair,Basic,Insulated
Warehouse 333,Sold,Cambridge,32.4468930670585,498166,16163938.931644263,99,2.589992617120764,5.5128389557799,239108.586906386,6.281693957226657,2000,13,24.097437661062997,354,Distribution Center,Industrial,Protected Area,Residential,Good,Moderate,Green Roof
Warehouse 334,Sold,New Bedford,49.73234888617576,103317,5138197.089873021,64,17.02438513374067,40.94854022343744,158628.3304247281,8.431759599026199,1999,43,38.520673429351156,428,Cold Storage,Industrial,None,Industrial,Poor,High,Insulated
Warehouse 335,Sold,Quincy,37.82044914369797,206207,7798841.356574528,63,6.9576212805064355,44.825815043776856,301986.4102003613,4.012809500392231,1968,11,16.308144850379676,205,Distribution Center,Commercial,High Pollution,Residential,Fair,Moderate,Solar Panels
Warehouse 336,Sold,Cambridge,36.923896394224926,302190,11158032.25137083,49,0.7140722957306417,41.35671461911129,162595.10496072017,6.265752670477339,1950,48,20.090763584033837,87,Distribution Center,Mixed-Use,Mild Pollution,Residential,Poor,High,None
Warehouse 337,Sold,Quincy,175.42829928187123,445280,78114713.10423163,64,1.1327164604163764,45.04060659713004,1697773.862453763,11.051282658586,1989,15,16.26589513454534,176,Cold Storage,Industrial,High Pollution,Mixed-Use,Good,High,Solar Panels
Warehouse 338,Sold,Fall River,149.62183609460402,106459,15928591.048795449,32,2.9291918894075213,28.102486581860205,165147.7816936303,8.749188680858886,1981,17,48.11641254254039,99,Dry Storage,Industrial,Mild Pollution,Residential,Good,High,Insulated
Warehouse 339,Sold,Newton,110.60955094484528,242697,26844606.185661115,7,4.346527624716221,40.80064792852675,579745.1731591282,8.862902592647844,1971,28,26.216158434036963,273,Distribution Center,Industrial,High Pollution,Mixed-Use,Good,Basic,Insulated
Warehouse 340,Sold,Quincy,46.631807310670254,205422,9579199.121372504,21,13.336409265344265,19.81808928116392,252324.86989491995,7.226914440210826,2015,19,23.48879639640904,481,Flex Space,Industrial,High Pollution,Industrial,Good,Basic,Green Roof
Warehouse 341,Sold,Lynn,113.5746987698615,313037,35553082.978821136,20,3.2307929720363817,33.647125212472886,626072.9708118417,9.411777147939288,1989,4,10.568086246830589,217,Distribution Center,Industrial,Protected Area,Residential,Good,High,Green Roof
Warehouse 342,Sold,Worcester,110.49020103269616,106520,11769416.214002796,26,2.4656003844237326,49.452941038069056,226590.96182179495,5.519462129842873,1987,22,16.136703176435496,221,Dry Storage,Industrial,Protected Area,Mixed-Use,Good,Basic,None
Warehouse 343,Sold,Springfield,59.444317884702585,392962,23359358.044608496,68,15.317910915377954,12.060658468117245,1352606.3389488773,10.549974483073534,1997,22,26.84543424969998,280,Flex Space,Commercial,Protected Area,Residential,Fair,Moderate,Insulated
Warehouse 344,Sold,Boston,103.75478037045542,66272,6876036.804710821,86,13.454000148812296,20.10508756826295,309987.29186802154,4.9335129594871985,2004,37,12.740111702875762,272,Dry Storage,Commercial,None,Mixed-Use,Poor,Basic,Insulated
Warehouse 345,Sold,Lowell,97.74580484755349,228224,22307938.565528046,15,8.7629520069592,24.522321488194194,1711099.5553858313,9.248010837224875,2024,39,30.429573180248678,282,Distribution Center,Industrial,Protected Area,Mixed-Use,Good,Basic,Solar Panels
Warehouse 346,Sold,Cambridge,134.69451666887682,334793,45094781.319123276,85,11.031264452454067,7.762758863982535,1643522.54891695,6.729194606557464,2004,34,28.200617538577912,351,Cold Storage,Commercial,Protected Area,Residential,Poor,Moderate,None
Warehouse 347,Sold,Newton,137.96592064749944,331818,45779575.85741197,79,6.308482004495727,4.970891912787782,76640.28666768837,9.980103764659814,2000,33,40.68672561377408,223,Dry Storage,Mixed-Use,High Pollution,Industrial,Poor,Moderate,Solar Panels
Warehouse 348,Sold,Boston,37.70168166124757,149832,5648918.3666680455,86,9.701758362683677,41.656420449759594,1796666.3932544733,8.39811641012816,2009,44,36.39210805601266,383,Dry Storage,Mixed-Use,High Pollution,Mixed-Use,Fair,Moderate,Green Roof
Warehouse 349,Sold,Quincy,93.68414448650012,157999,14802001.144722532,92,10.18278571475664,48.86292426855172,106441.41764956576,7.61882430782973,1957,42,27.83789221282295,73,Cold Storage,Industrial,None,Industrial,Good,High,Green Roof
Warehouse 350,Sold,Worcester,136.3961856714202,353619,48232282.78094194,14,7.806021696444108,20.831528127653275,517309.2806672354,5.355379216745976,2017,40,18.986428004202857,21,Distribution Center,Mixed-Use,Mild Pollution,Residential,Good,Moderate,Solar Panels
Warehouse 351,Sold,Boston,115.5331639586149,66367,7667589.492441395,27,18.14078699237604,5.29484197353801,113158.81866319037,9.094571714274823,2024,33,39.07454264071225,219,Dry Storage,Mixed-Use,High Pollution,Residential,Fair,Moderate,Green Roof
Warehouse 352,Sold,Worcester,175.6032730020148,234027,41095907.17084251,40,0.4196311131220223,4.2247762738382475,704894.7997266662,11.798158747363304,2021,12,38.31448413816817,321,Distribution Center,Commercial,High Pollution,Industrial,Fair,Moderate,Solar Panels
Warehouse 353,Sold,Cambridge,141.97791737522067,410804,58325096.36941015,58,15.665208135515797,44.67459211165463,1052039.7251408796,10.60482739925612,1958,2,16.131846420615496,183,Distribution Center,Commercial,Mild Pollution,Residential,Fair,High,Insulated
Warehouse 354,Sold,Lynn,57.69885260384305,388894,22438737.58451894,28,2.575218341702354,23.726898236656318,1603457.4945795194,4.480065540712094,1951,28,46.59007325701611,440,Distribution Center,Commercial,None,Mixed-Use,Fair,Basic,Insulated
Warehouse 355,Sold,Lynn,41.99668705807307,237750,9984712.348056873,26,15.971192474690268,16.681338511557204,709064.0234161805,7.009835026889529,2019,10,12.576204640601727,265,Cold Storage,Commercial,High Pollution,Industrial,Fair,High,Green Roof
Warehouse 356,Sold,Worcester,139.21127729507367,240806,33522910.84031751,63,12.35664712196675,24.346602290730576,1425705.5481125775,11.404664073522174,2008,22,12.201508355708647,472,Distribution Center,Mixed-Use,Protected Area,Residential,Poor,Basic,None
Warehouse 357,Sold,Worcester,34.506922792075706,385298,13295448.337941185,66,16.881234009634408,16.596900639925018,415633.6913820117,8.024349980456172,1968,17,17.494016706497078,110,Distribution Center,Industrial,None,Residential,Fair,Moderate,Insulated
Warehouse 358,Sold,Springfield,129.58184881648876,188305,24400910.041388914,25,2.0405350802538593,24.96275299007338,1513666.9906510464,9.296894606465433,1977,26,46.37843192195085,25,Flex Space,Commercial,Mild Pollution,Industrial,Good,High,Green Roof
Warehouse 359,Sold,New Bedford,189.8391410422428,49738,9442219.197159072,3,11.223714618585502,43.11826344897891,510193.38152301323,11.300794764731123,2021,3,30.799924961476872,206,Flex Space,Mixed-Use,Mild Pollution,Mixed-Use,Good,High,None
Warehouse 360,Sold,Newton,127.83061023889942,38397,4908311.941343022,72,10.07164881721772,30.02276718204269,329912.27409034746,10.990357523359044,1963,7,41.517636826916004,267,Flex Space,Commercial,Protected Area,Industrial,Fair,Basic,Green Roof
Warehouse 361,Sold,Springfield,95.98888745510872,349333,33532086.021355495,44,14.153244340970836,35.03803486769859,411547.2582294059,8.014563004324089,1973,44,19.113727523060025,393,Dry Storage,Mixed-Use,Protected Area,Residential,Fair,High,Solar Panels
Warehouse 362,Sold,Boston,139.35899713520004,343511,47871348.4649097,97,10.732381982684148,18.868863135482492,405023.101319618,7.501170421260817,1993,8,29.608878986149634,253,Dry Storage,Commercial,Protected Area,Residential,Fair,High,Green Roof
Warehouse 363,Sold,Brockton,107.90299138355783,207332,22371743.00953581,42,10.860617885948772,37.18678804701542,1050082.6147851327,6.717540947836697,2005,20,24.331578544955292,357,Flex Space,Industrial,None,Industrial,Fair,Basic,Solar Panels
Warehouse 364,Sold,Springfield,122.75485418370894,387729,47595616.85779528,99,8.648959277163685,33.66423715908925,1697355.283316885,9.752155545303129,2000,12,43.11314428264771,258,Cold Storage,Commercial,Mild Pollution,Mixed-Use,Fair,High,Insulated
Warehouse 365,Sold,Boston,190.04901749200928,343763,65331820.40010559,6,6.245805037746082,6.858537889850766,205229.90013538598,6.295894395772346,1981,35,10.904177574369065,114,Cold Storage,Industrial,Protected Area,Mixed-Use,Good,High,Insulated
Warehouse 366,Sold,Lowell,95.63744842613163,116453,11137267.781568306,39,9.697060788918623,29.059499802663645,1428564.8210621742,5.999100851447201,1999,17,19.753709198644213,191,Flex Space,Commercial,Protected Area,Mixed-Use,Poor,Moderate,Green Roof
Warehouse 367,Sold,Boston,193.4023958500654,24816,4799473.855415223,52,2.4579979394911717,13.580431319178143,1325975.5963230724,6.849999156830241,1990,28,16.10296897209515,164,Dry Storage,Commercial,Mild Pollution,Industrial,Fair,Moderate,None
Warehouse 368,Sold,Boston,183.90960913253085,440456,81004090.800078,23,19.234115445763386,40.400687812046044,1751413.9060672566,5.417720455030336,2015,41,44.367561548862774,296,Dry Storage,Commercial,High Pollution,Mixed-Use,Fair,Moderate,Green Roof
Warehouse 369,Sold,Lawrence,63.2844929141804,404492,25598071.107842658,89,14.316774196169304,21.87094771488003,526087.7429884691,9.56095852756614,1974,10,28.701753987750628,178,Cold Storage,Mixed-Use,None,Mixed-Use,Fair,Moderate,Green Roof
Warehouse 370,Sold,Worcester,41.79142114877813,250011,10448314.992827168,50,19.054095622088152,49.739524094627875,927714.2244358078,8.929925194644898,2010,22,26.168801755728648,429,Distribution Center,Mixed-Use,High Pollution,Mixed-Use,Good,Moderate,Insulated
Warehouse 371,Sold,Fall River,47.13226023416253,346674,16339529.184418062,43,4.611874908366268,5.532521459009225,1855363.380164859,7.863028272926749,2015,38,27.979310484043193,56,Cold Storage,Industrial,Protected Area,Mixed-Use,Good,High,Insulated
Warehouse 372,Sold,Quincy,33.09771036076346,421715,13957800.924789362,19,17.59888630151291,39.23704527426777,1336987.2277638684,7.122606234092437,1991,33,48.87698202809341,52,Distribution Center,Industrial,None,Residential,Poor,High,Green Roof
Warehouse 373,Sold,Worcester,46.055303328507826,486792,22419353.21789098,69,16.194920692814417,34.011384943565666,808098.405080114,11.272500343173853,2014,22,44.010695773436964,330,Dry Storage,Mixed-Use,High Pollution,Industrial,Poor,Moderate,Insulated
Warehouse 374,Sold,Newton,146.11115148078068,376000,54937792.956773534,51,13.575333007907705,38.60744269894457,306254.14656777354,4.232990279912842,1985,44,38.2547508740123,315,Dry Storage,Industrial,Mild Pollution,Industrial,Poor,Basic,Solar Panels
Warehouse 375,Sold,Worcester,42.10207023823893,218567,9202123.185761169,11,12.538080803095593,16.06895997903236,561845.7654061525,10.152861948058394,1958,37,21.619158368930186,230,Flex Space,Industrial,Protected Area,Mixed-Use,Poor,Moderate,Green Roof
Warehouse 376,Sold,Newton,84.22585714993943,76635,6454648.562685608,12,6.399338338830612,25.11066997973763,1183370.1811042975,11.21527657399111,1985,13,16.60691998073791,10,Dry Storage,Mixed-Use,None,Industrial,Good,High,Insulated
Warehouse 377,Sold,Newton,173.62880286480728,374947,65101598.74775089,74,16.346574620804112,40.028917466461714,1450427.4977430017,7.570836635439408,1987,27,46.857345160978134,209,Distribution Center,Mixed-Use,None,Industrial,Poor,Basic,Green Roof
Warehouse 378,Sold,Fall River,33.9562290750904,221184,7510574.571744795,8,10.080157683446702,12.394525249421894,292622.6793611923,8.405523931765174,1982,15,26.923020911859314,450,Cold Storage,Mixed-Use,None,Residential,Fair,Moderate,Insulated
Warehouse 379,Sold,Fall River,168.4596420401191,303090,51058432.9059397,24,1.5107423602365788,12.075626642643952,1219214.6570859053,11.555709503056303,1991,22,21.15023197874517,153,Flex Space,Mixed-Use,None,Industrial,Good,Basic,Solar Panels
Warehouse 380,Sold,Quincy,77.91531171147798,322348,25115844.899571504,92,6.3259769010170865,28.001496711451686,1123184.9937355644,5.698220122284115,2010,30,28.836833056705416,387,Distribution Center,Commercial,Protected Area,Residential,Good,Moderate,Solar Panels
Warehouse 381,Sold,Lawrence,50.088020695681564,187958,9414444.193918915,41,18.71241226105202,26.65461539696293,1052213.1210468807,8.161078782277478,1995,43,46.713896912814086,37,Cold Storage,Mixed-Use,Protected Area,Industrial,Good,High,Green Roof
Warehouse 382,Sold,Brockton,148.4453181119056,469868,69749704.73060486,36,17.02853718603644,14.83086105023371,1395740.0794799156,7.797769017025703,2010,40,25.48269253565173,351,Cold Storage,Industrial,Mild Pollution,Residential,Fair,Moderate,Solar Panels
Warehouse 383,Sold,Lawrence,136.9202839525803,282707,38708322.715382114,85,19.63992339172313,15.605706875716315,1683026.7104127505,6.067141182962961,1967,37,32.50563988992398,347,Cold Storage,Commercial,Mild Pollution,Residential,Good,Basic,Solar Panels
Warehouse 384,Sold,Newton,179.170242299599,97324,17437564.661566176,72,12.59706831382155,14.61441299712171,679829.8821948933,10.548745842984864,2019,34,42.118652044342674,287,Dry Storage,Commercial,Mild Pollution,Industrial,Fair,High,Insulated
Warehouse 385,Sold,Lowell,154.9620774466606,228536,35414413.33135003,55,5.025450455494197,38.80409103792589,1783573.770716371,11.196804758105888,1964,44,27.08530124193565,50,Cold Storage,Industrial,High Pollution,Residential,Poor,Moderate,Green Roof
Warehouse 386,Sold,Springfield,166.59175816542427,237944,39639509.304913715,9,3.340019488569589,32.943142412560576,363235.5446061739,10.25546063830567,1997,34,19.34167207705473,341,Dry Storage,Commercial,Mild Pollution,Residential,Good,Moderate,Insulated
Warehouse 387,Sold,Boston,77.94587733712211,276991,21590306.50948679,47,3.8195973681083863,41.78844198710238,387396.54601477046,5.562871686788867,2021,48,49.781029935321335,156,Cold Storage,Industrial,Protected Area,Industrial,Fair,Moderate,Insulated
Warehouse 388,Sold,Newton,60.16472244255288,31155,1874431.927697735,15,0.4939336011103622,48.79817838738707,570205.5240666517,4.6939890840110525,1962,35,48.26283429808639,354,Cold Storage,Commercial,High Pollution,Residential,Good,Moderate,None
Warehouse 389,Sold,Springfield,157.6045077789459,346815,54659607.36535512,48,7.874574008620189,24.234050517327333,283085.19561680174,8.84355588244274,1992,42,43.73916676502056,187,Dry Storage,Commercial,Protected Area,Residential,Poor,High,Solar Panels
Warehouse 390,Sold,Lawrence,167.1619056754349,121891,20375531.844684433,82,3.9094108419408955,4.268000188866994,499122.48813161126,4.4567580840790715,2009,19,37.534955175436906,324,Dry Storage,Industrial,High Pollution,Residential,Good,High,Insulated
Warehouse 391,Sold,Lynn,198.38587414011445,350454,69525123.13589968,42,8.291943663088377,3.356523210189736,257502.93766054697,9.382607108464674,2006,8,21.794625122787878,334,Distribution Center,Industrial,Mild Pollution,Residential,Poor,Moderate,Insulated
Warehouse 392,Sold,Cambridge,100.1450050749425,465494,46616898.99235529,60,18.70638919359143,15.487586924309337,1652417.2131215113,8.243393762617941,2020,39,46.53651752656128,427,Cold Storage,Industrial,Mild Pollution,Residential,Good,High,Insulated
Warehouse 393,Sold,Brockton,93.24307458477314,154381,14394959.097471863,84,8.667750169193079,46.694684878270095,320989.53417891794,9.302285861949308,1966,33,21.02226680484915,176,Dry Storage,Industrial,Mild Pollution,Mixed-Use,Fair,Basic,Solar Panels
Warehouse 394,Sold,Cambridge,161.99020332613946,136691,22142602.88285333,70,17.57189148999821,26.63743969357287,1507230.2372417208,8.721366189197951,1999,44,42.032379787073296,132,Distribution Center,Mixed-Use,High Pollution,Residential,Poor,High,Solar Panels
Warehouse 395,Sold,Boston,87.93660184301304,481410,42333559.49324491,12,12.149544855655941,14.317539287926328,143432.0424310008,7.381620556217382,1981,28,46.730326717652254,83,Distribution Center,Mixed-Use,Protected Area,Residential,Good,Basic,Solar Panels
Warehouse 396,Sold,Fall River,188.228745352606,448324,84387464.03146173,2,5.017917937761698,20.559172931039956,1899614.6386521345,5.607017441121826,1971,37,34.120153617196465,248,Dry Storage,Industrial,None,Residential,Poor,Basic,Green Roof
Warehouse 397,Sold,Boston,175.930167813312,39707,6985659.17336318,7,7.181509709258306,30.33116026282887,1436762.170679144,6.445617086483908,2004,48,42.12224871564715,258,Cold Storage,Mixed-Use,Protected Area,Residential,Poor,High,Insulated
Warehouse 398,Sold,Lowell,102.92898465375312,418553,43081235.31378233,80,1.7699987628464453,32.994533248754266,63253.26974291798,8.196004593751812,2006,25,41.66780396806986,272,Distribution Center,Industrial,Mild Pollution,Industrial,Fair,Moderate,Solar Panels
Warehouse 399,Sold,Springfield,157.64808152455456,348681,54968890.714063205,3,6.735905612560608,8.542055979362345,1539520.1753904172,9.214944749180848,1962,36,17.726310044839195,261,Cold Storage,Industrial,High Pollution,Mixed-Use,Fair,High,Insulated
Warehouse 400,Sold,Newton,158.272288594396,202576,32062167.134298366,3,13.583064815520327,48.874552150713626,1052459.7454940614,10.235864135076227,1996,17,36.71697894384339,366,Cold Storage,Commercial,High Pollution,Industrial,Fair,Basic,Green Roof
Warehouse 401,Sold,Quincy,47.53105770210854,183686,8730789.865069509,27,1.53501074929576,27.693839122156653,1569762.0821534835,10.137365747592487,2011,24,13.738717476177742,120,Distribution Center,Industrial,Mild Pollution,Mixed-Use,Fair,Basic,None
Warehouse 402,Sold,Lawrence,183.43399413552635,227500,41731233.665832244,40,4.187488028712783,7.648727571821686,1068868.7773366475,11.781509946088683,2003,21,30.314005725499253,189,Dry Storage,Industrial,High Pollution,Residential,Poor,High,Green Roof
Warehouse 403,Sold,Lawrence,115.89290331613572,358299,41524311.36526811,33,7.690676724124898,44.78812741396055,1299998.4723889416,6.2867315893072755,1978,2,16.4894219256231,197,Cold Storage,Industrial,Mild Pollution,Residential,Poor,Basic,Solar Panels
Warehouse 404,Sold,New Bedford,170.49776923831607,267425,45595365.93855667,92,19.642785786617655,4.657283122892011,1583346.7280203288,4.568885665707494,1971,31,26.653979951857266,317,Flex Space,Industrial,Protected Area,Mixed-Use,Good,High,Solar Panels
Warehouse 405,Sold,Newton,84.408432175204,163492,13800103.393188452,1,15.718750276881714,45.479036225698124,839960.7064463205,6.765255484334874,2014,44,43.319282987937505,216,Dry Storage,Commercial,High Pollution,Mixed-Use,Good,High,Green Roof
Warehouse 406,Sold,New Bedford,182.23894884435407,479112,87312867.25871617,8,14.696386255192866,49.83171715816014,55280.89214988157,9.946355801792613,1978,33,49.48671358520818,243,Distribution Center,Industrial,None,Industrial,Good,Moderate,Insulated
Warehouse 407,Sold,Quincy,96.16428538480773,175102,16838558.6994506,32,2.412200034856375,35.32115815866869,1707395.6670931175,7.5048932082663615,1997,30,22.71839326638471,33,Flex Space,Commercial,High Pollution,Mixed-Use,Fair,Basic,Solar Panels
Warehouse 408,Sold,Fall River,31.84240075165072,399274,12713842.717714591,48,15.641818282938328,38.7519138326255,792736.207118092,10.542307444715355,1954,12,31.278227951327064,35,Cold Storage,Industrial,Mild Pollution,Residential,Poor,High,Solar Panels
Warehouse 409,Sold,New Bedford,183.91493599127483,222285,40881531.54682053,4,15.726849349168699,17.527838986906833,1017283.315732337,8.39461092148812,1984,44,30.451920974819544,390,Dry Storage,Commercial,None,Industrial,Poor,Basic,Green Roof
Warehouse 410,Sold,Fall River,45.5187350536427,343404,15631315.692361118,94,12.061943642924131,47.137265783962754,65144.952200239,11.438333781044024,2023,12,48.176060393242636,227,Flex Space,Mixed-Use,Mild Pollution,Mixed-Use,Good,High,Insulated
Warehouse 411,Sold,Worcester,84.28331839037052,164476,13862583.075574582,70,19.8081994617676,26.955984339310014,1009579.4201826911,11.58290753599255,2020,49,29.14334929731094,355,Dry Storage,Commercial,High Pollution,Mixed-Use,Good,High,Green Roof
Warehouse 412,Sold,Lowell,191.51053439863685,239554,45877114.557331055,19,6.572552727898583,36.88703388328019,1973650.4330648726,4.55443604814999,1995,24,37.96424821598791,387,Cold Storage,Commercial,None,Industrial,Poor,Moderate,Green Roof
Warehouse 413,Sold,Newton,191.60321497938455,165928,31792338.25509932,32,18.83132172001285,46.281278079652694,592621.9385966008,7.6513075176993945,1984,24,46.871569324341046,19,Dry Storage,Industrial,None,Mixed-Use,Fair,High,Insulated
Warehouse 414,Sold,Brockton,127.48444098095864,145272,18519919.710185822,9,18.30314918763442,48.78381882279991,821065.6269726373,8.877512489996544,1994,11,24.935142381473604,26,Flex Space,Commercial,High Pollution,Residential,Good,Moderate,Insulated
Warehouse 415,Sold,Springfield,137.41232606886587,331322,45527726.697788775,12,0.32846512901261904,41.827013473237045,1390020.4931139194,6.046980326497702,1962,13,46.084889529815506,254,Dry Storage,Commercial,None,Industrial,Good,Basic,None
Warehouse 416,Sold,Springfield,106.23573873631436,301141,31991936.59879244,11,9.057318876848738,15.84785784211947,1638847.6516711344,7.256614235031842,1959,27,46.69824887564054,215,Distribution Center,Industrial,Protected Area,Mixed-Use,Poor,Moderate,Green Roof
Warehouse 417,Sold,Brockton,79.84583118867097,423827,33840819.09520085,46,19.54437423772631,48.36082831105204,863913.6668118956,9.421452328941587,2015,8,47.226500158685226,267,Distribution Center,Mixed-Use,None,Residential,Poor,Moderate,Insulated
